"key_ID","notification_ID","notification_by_ID","notification_by","notification_by_code","start_date","start_year","end_date","end_year","opinion_ID","opinion_by_ID","opinion_by","opinion_by_code"
120,"TRIS:1989:0206:BE:N",1,"Belgium","BE",1989-08-18,1989,1990-02-23,1990,"TRIS:1989:0206:BE:O:EC",34,"Commission","EC"
121,"TRIS:1989:0208:DE:N",3,"Germany","DE",1989-08-21,1989,1990-08-27,1990,"TRIS:1989:0208:DE:O:EC",34,"Commission","EC"
122,"TRIS:1989:0208:DE:N",3,"Germany","DE",1989-08-21,1989,1990-08-27,1990,"TRIS:1989:0208:DE:O:IT",4,"Italy","IT"
123,"TRIS:1989:0209:DE:N",3,"Germany","DE",1989-08-31,1989,1990-03-06,1990,"TRIS:1989:0209:DE:O:EC",34,"Commission","EC"
124,"TRIS:1989:0209:DE:N",3,"Germany","DE",1989-08-31,1989,1990-03-06,1990,"TRIS:1989:0209:DE:O:FR",2,"France","FR"
125,"TRIS:1989:0209:DE:N",3,"Germany","DE",1989-08-31,1989,1990-03-06,1990,"TRIS:1989:0209:DE:O:IT",4,"Italy","IT"
126,"TRIS:1989:0212:DE:N",3,"Germany","DE",1989-09-01,1989,1990-03-08,1990,"TRIS:1989:0212:DE:O:EC",34,"Commission","EC"
127,"TRIS:1989:0213:UK:N",9,"United Kingdom","UK",1989-09-04,1989,1990-03-07,1990,"TRIS:1989:0213:UK:O:DE",3,"Germany","DE"
128,"TRIS:1989:0213:UK:N",9,"United Kingdom","UK",1989-09-04,1989,1990-03-07,1990,"TRIS:1989:0213:UK:O:EC",34,"Commission","EC"
129,"TRIS:1989:0214:BE:N",1,"Belgium","BE",1989-09-04,1989,1990-03-07,1990,"TRIS:1989:0214:BE:O:EC",34,"Commission","EC"
130,"TRIS:1989:0214:BE:N",1,"Belgium","BE",1989-09-04,1989,1990-03-07,1990,"TRIS:1989:0214:BE:O:IT",4,"Italy","IT"
131,"TRIS:1989:0214:BE:N",1,"Belgium","BE",1989-09-04,1989,1990-03-07,1990,"TRIS:1989:0214:BE:O:UK",9,"United Kingdom","UK"
132,"TRIS:1989:0215:BE:N",1,"Belgium","BE",1989-09-04,1989,1990-09-20,1990,"TRIS:1989:0215:BE:O:FR",2,"France","FR"
133,"TRIS:1989:0216:EL:N",10,"Greece","EL",1989-09-06,1989,1990-03-14,1990,"TRIS:1989:0216:EL:O:EC",34,"Commission","EC"
134,"TRIS:1989:0219:DE:N",3,"Germany","DE",1989-09-08,1989,1990-03-15,1990,"TRIS:1989:0219:DE:O:EC",34,"Commission","EC"
135,"TRIS:1989:0219:DE:N",3,"Germany","DE",1989-09-08,1989,1990-03-15,1990,"TRIS:1989:0219:DE:O:IT",4,"Italy","IT"
136,"TRIS:1989:0220:ES:N",12,"Spain","ES",1989-09-12,1989,1990-04-05,1990,"TRIS:1989:0220:ES:O:EC",34,"Commission","EC"
137,"TRIS:1989:0226:EL:N",10,"Greece","EL",1989-09-18,1989,1990-03-19,1990,"TRIS:1989:0226:EL:O:EC",34,"Commission","EC"
138,"TRIS:1989:0226:EL:N",10,"Greece","EL",1989-09-18,1989,1990-03-19,1990,"TRIS:1989:0226:EL:O:IT",4,"Italy","IT"
