"key_ID","year","comment_by_ID","comment_by","comment_by_code","notification_by_ID","notification_by","notification_by_code","count_comments"
370,1994,9,"United Kingdom","UK",13,"Austria","AT",3
371,1994,11,"Portugal","PT",4,"Italy","IT",1
372,1994,11,"Portugal","PT",12,"Spain","ES",1
373,1994,12,"Spain","ES",1,"Belgium","BE",1
374,1994,12,"Spain","ES",2,"France","FR",11
375,1994,12,"Spain","ES",3,"Germany","DE",3
376,1994,12,"Spain","ES",4,"Italy","IT",8
377,1994,12,"Spain","ES",6,"Netherlands","NL",8
378,1994,12,"Spain","ES",7,"Denmark","DK",2
379,1994,12,"Spain","ES",10,"Greece","EL",2
380,1994,12,"Spain","ES",15,"Sweden","SE",1
381,1994,13,"Austria","AT",3,"Germany","DE",1
382,1994,13,"Austria","AT",6,"Netherlands","NL",1
383,1994,13,"Austria","AT",12,"Spain","ES",1
384,1994,14,"Finland","FI",7,"Denmark","DK",1
385,1994,15,"Sweden","SE",6,"Netherlands","NL",1
386,1994,34,"Commission","EC",1,"Belgium","BE",9
387,1994,34,"Commission","EC",2,"France","FR",18
388,1994,34,"Commission","EC",3,"Germany","DE",56
389,1994,34,"Commission","EC",4,"Italy","IT",7
390,1994,34,"Commission","EC",6,"Netherlands","NL",6
391,1994,34,"Commission","EC",7,"Denmark","DK",13
392,1994,34,"Commission","EC",8,"Ireland","IE",1
393,1994,34,"Commission","EC",9,"United Kingdom","UK",32
394,1994,34,"Commission","EC",10,"Greece","EL",6
395,1994,34,"Commission","EC",11,"Portugal","PT",3
396,1994,34,"Commission","EC",12,"Spain","ES",17
397,1994,34,"Commission","EC",13,"Austria","AT",11
398,1994,34,"Commission","EC",14,"Finland","FI",2
399,1994,34,"Commission","EC",15,"Sweden","SE",17
400,1994,34,"Commission","EC",31,"Norway","NO",3
401,1994,34,"Commission","EC",32,"Switzerland","CH",28
402,1994,35,"European Free Trade Association","EFTA",3,"Germany","DE",6
403,1995,2,"France","FR",3,"Germany","DE",4
404,1995,2,"France","FR",4,"Italy","IT",6
405,1995,2,"France","FR",6,"Netherlands","NL",8
406,1995,2,"France","FR",7,"Denmark","DK",1
407,1995,2,"France","FR",9,"United Kingdom","UK",4
408,1995,2,"France","FR",10,"Greece","EL",2
409,1995,2,"France","FR",12,"Spain","ES",5
410,1995,2,"France","FR",14,"Finland","FI",2
411,1995,3,"Germany","DE",1,"Belgium","BE",1
412,1995,3,"Germany","DE",2,"France","FR",1
413,1995,3,"Germany","DE",4,"Italy","IT",2
