"key_ID","notification_ID","notification_by","start_date","start_year","end_date","end_year","comment_ID","comment_by"
116,"TRIS:1989:0269:DE:N","Germany",1989-11-15,1989,1990-05-22,1990,"TRIS:1989:0269:DE:C:EC","Commission"
117,"TRIS:1989:0270:DE:N","Germany",1989-11-15,1989,1990-05-22,1990,"TRIS:1989:0270:DE:C:EC","Commission"
118,"TRIS:1989:0270:DE:N","Germany",1989-11-15,1989,1990-05-22,1990,"TRIS:1989:0270:DE:C:FR","France"
119,"TRIS:1989:0271:FR:N","France",1989-11-15,1989,1990-07-19,1990,"TRIS:1989:0271:FR:C:DK","Denmark"
120,"TRIS:1989:0271:FR:N","France",1989-11-15,1989,1990-07-19,1990,"TRIS:1989:0271:FR:C:EC","Commission"
121,"TRIS:1989:0272:DE:N","Germany",1989-11-16,1989,1990-05-28,1990,"TRIS:1989:0272:DE:C:FR","France"
122,"TRIS:1989:0273:DE:N","Germany",1989-11-16,1989,1990-03-01,1990,"TRIS:1989:0273:DE:C:FR","France"
123,"TRIS:1989:0285:ES:N","Spain",1989-11-22,1989,1990-05-31,1990,"TRIS:1989:0285:ES:C:IT","Italy"
124,"TRIS:1989:0286:DE:N","Germany",1989-11-23,1989,1990-06-05,1990,"TRIS:1989:0286:DE:C:FR","France"
125,"TRIS:1989:0288:DE:N","Germany",1989-11-23,1989,1990-06-20,1990,"TRIS:1989:0288:DE:C:EC","Commission"
126,"TRIS:1989:0288:DE:N","Germany",1989-11-23,1989,1990-06-20,1990,"TRIS:1989:0288:DE:C:UK","United Kingdom"
127,"TRIS:1989:0289:DE:N","Germany",1989-11-23,1989,1990-12-20,1990,"TRIS:1989:0289:DE:C:EC","Commission"
128,"TRIS:1989:0289:DE:N","Germany",1989-11-23,1989,1990-12-20,1990,"TRIS:1989:0289:DE:C:FR","France"
129,"TRIS:1989:0292:EL:N","Greece",1989-11-28,1989,1990-12-07,1990,"TRIS:1989:0292:EL:C:DE","Germany"
130,"TRIS:1989:0293:EL:N","Greece",1989-11-28,1989,1990-12-07,1990,"TRIS:1989:0293:EL:C:DE","Germany"
131,"TRIS:1989:0293:EL:N","Greece",1989-11-28,1989,1990-12-07,1990,"TRIS:1989:0293:EL:C:UK","United Kingdom"
132,"TRIS:1989:0296:FR:N","France",1989-12-01,1989,1990-06-05,1990,"TRIS:1989:0296:FR:C:EC","Commission"
133,"TRIS:1989:0296:FR:N","France",1989-12-01,1989,1990-06-05,1990,"TRIS:1989:0296:FR:C:NL","Netherlands"
134,"TRIS:1989:0296:FR:N","France",1989-12-01,1989,1990-06-05,1990,"TRIS:1989:0296:FR:C:UK","United Kingdom"
135,"TRIS:1989:0297:ES:N","Spain",1989-12-04,1989,1990-04-04,1990,"TRIS:1989:0297:ES:C:DE","Germany"
136,"TRIS:1989:0300:ES:N","Spain",1989-12-05,1989,1990-07-04,1990,"TRIS:1989:0300:ES:C:UK","United Kingdom"
137,"TRIS:1989:0302:NL:N","Netherlands",1989-12-07,1989,1990-05-03,1990,"TRIS:1989:0302:NL:C:FR","France"
138,"TRIS:1989:0303:NL:N","Netherlands",1989-12-07,1989,1990-05-03,1990,"TRIS:1989:0303:NL:C:FR","France"
139,"TRIS:1989:0305:IT:N","Italy",1989-12-14,1989,1990-09-17,1990,"TRIS:1989:0305:IT:C:FR","France"
140,"TRIS:1989:0307:FR:N","France",1989-12-19,1989,1990-07-30,1990,"TRIS:1989:0307:FR:C:ES","Spain"
141,"TRIS:1989:0309:DE:N","Germany",1989-12-20,1989,1990-04-04,1990,"TRIS:1989:0309:DE:C:ES","Spain"
142,"TRIS:1989:0314:UK:N","United Kingdom",1989-12-22,1989,1990-03-29,1990,"TRIS:1989:0314:UK:C:FR","France"
143,"TRIS:1989:0317:ES:N","Spain",1989-12-22,1989,1990-08-07,1990,"TRIS:1989:0317:ES:C:EC","Commission"
144,"TRIS:1989:0317:ES:N","Spain",1989-12-22,1989,1990-08-07,1990,"TRIS:1989:0317:ES:C:UK","United Kingdom"
145,"TRIS:1989:0315:IT:N","Italy",1989-12-27,1989,1990-06-25,1990,"TRIS:1989:0315:IT:C:FR","France"
146,"TRIS:1989:0313:UK:N","United Kingdom",1989-12-28,1989,1990-06-29,1990,"TRIS:1989:0313:UK:C:FR","France"
147,"TRIS:1990:0001:DE:N","Germany",1990-01-05,1990,1990-05-16,1990,"TRIS:1990:0001:DE:C:FR","France"
148,"TRIS:1990:0002:UK:N","United Kingdom",1990-01-11,1990,1990-07-17,1990,"TRIS:1990:0002:UK:C:FR","France"
149,"TRIS:1990:0007:FR:N","France",1990-01-18,1990,1991-01-21,1991,"TRIS:1990:0007:FR:C:ES","Spain"
150,"TRIS:1990:0008:FR:N","France",1990-01-18,1990,1990-04-25,1990,"TRIS:1990:0008:FR:C:EC","Commission"
151,"TRIS:1990:0009:ES:N","Spain",1990-01-22,1990,1991-01-28,1991,"TRIS:1990:0009:ES:C:EC","Commission"
152,"TRIS:1990:0011:BE:N","Belgium",1990-01-24,1990,1990-07-27,1990,"TRIS:1990:0011:BE:C:DE","Germany"
153,"TRIS:1990:0011:BE:N","Belgium",1990-01-24,1990,1990-07-27,1990,"TRIS:1990:0011:BE:C:UK","United Kingdom"
154,"TRIS:1990:0014:DE:N","Germany",1990-01-30,1990,1990-08-07,1990,"TRIS:1990:0014:DE:C:FR","France"
155,"TRIS:1990:0016:DE:N","Germany",1990-02-02,1990,1990-05-10,1990,"TRIS:1990:0016:DE:C:NL","Netherlands"
156,"TRIS:1990:0021:IT:N","Italy",1990-02-07,1990,1990-08-20,1990,"TRIS:1990:0021:IT:C:DE","Germany"
157,"TRIS:1990:0021:IT:N","Italy",1990-02-07,1990,1990-08-20,1990,"TRIS:1990:0021:IT:C:NL","Netherlands"
158,"TRIS:1990:0023:EL:N","Greece",1990-02-12,1990,1990-08-10,1990,"TRIS:1990:0023:EL:C:DK","Denmark"
159,"TRIS:1990:0023:EL:N","Greece",1990-02-12,1990,1990-08-10,1990,"TRIS:1990:0023:EL:C:ES","Spain"
160,"TRIS:1990:0025:UK:N","United Kingdom",1990-02-14,1990,1990-05-21,1990,"TRIS:1990:0025:UK:C:DE","Germany"
161,"TRIS:1990:0027:FR:N","France",1990-02-19,1990,1990-12-03,1990,"TRIS:1990:0027:FR:C:NL","Netherlands"
162,"TRIS:1990:0029:FR:N","France",1990-02-19,1990,1990-12-03,1990,"TRIS:1990:0029:FR:C:NL","Netherlands"
163,"TRIS:1990:0030:FR:N","France",1990-02-19,1990,1990-12-03,1990,"TRIS:1990:0030:FR:C:UK","United Kingdom"
164,"TRIS:1990:0049:ES:N","Spain",1990-02-19,1990,1990-08-24,1990,"TRIS:1990:0049:ES:C:IE","Ireland"
165,"TRIS:1990:0034:DE:N","Germany",1990-02-22,1990,1990-06-07,1990,"TRIS:1990:0034:DE:C:EC","Commission"
166,"TRIS:1990:0035:ES:N","Spain",1990-02-23,1990,1991-03-04,1991,"TRIS:1990:0035:ES:C:IE","Ireland"
167,"TRIS:1990:0037:EL:N","Greece",1990-03-02,1990,1990-06-18,1990,"TRIS:1990:0037:EL:C:FR","France"
168,"TRIS:1990:0041:DE:N","Germany",1990-03-02,1990,1990-06-13,1990,"TRIS:1990:0041:DE:C:EC","Commission"
169,"TRIS:1990:0041:DE:N","Germany",1990-03-02,1990,1990-06-13,1990,"TRIS:1990:0041:DE:C:ES","Spain"
170,"TRIS:1990:0041:DE:N","Germany",1990-03-02,1990,1990-06-13,1990,"TRIS:1990:0041:DE:C:FR","France"
171,"TRIS:1990:0042:UK:N","United Kingdom",1990-03-02,1990,1990-06-08,1990,"TRIS:1990:0042:UK:C:FR","France"
172,"TRIS:1990:0046:DE:N","Germany",1990-03-07,1990,1990-10-18,1990,"TRIS:1990:0046:DE:C:NL","Netherlands"
173,"TRIS:1990:0056:IE:N","Ireland",1990-03-16,1990,1991-03-22,1991,"TRIS:1990:0056:IE:C:ES","Spain"
174,"TRIS:1990:0060:DK:N","Denmark",1990-03-19,1990,1990-10-01,1990,"TRIS:1990:0060:DK:C:DE","Germany"
175,"TRIS:1990:0060:DK:N","Denmark",1990-03-19,1990,1990-10-01,1990,"TRIS:1990:0060:DK:C:NL","Netherlands"
176,"TRIS:1990:0060:DK:N","Denmark",1990-03-19,1990,1990-10-01,1990,"TRIS:1990:0060:DK:C:UK","United Kingdom"
177,"TRIS:1990:0064:DE:N","Germany",1990-03-22,1990,1990-10-12,1990,"TRIS:1990:0064:DE:C:FR","France"
178,"TRIS:1990:0068:NL:N","Netherlands",1990-03-27,1990,1990-10-04,1990,"TRIS:1990:0068:NL:C:EC","Commission"
179,"TRIS:1990:0068:NL:N","Netherlands",1990-03-27,1990,1990-10-04,1990,"TRIS:1990:0068:NL:C:IT","Italy"
180,"TRIS:1990:0068:NL:N","Netherlands",1990-03-27,1990,1990-10-04,1990,"TRIS:1990:0068:NL:C:UK","United Kingdom"
181,"TRIS:1990:0069:DE:N","Germany",1990-03-27,1990,1990-07-06,1990,"TRIS:1990:0069:DE:C:EC","Commission"
182,"TRIS:1990:0071:UK:N","United Kingdom",1990-03-30,1990,1990-12-17,1990,"TRIS:1990:0071:UK:C:DE","Germany"
183,"TRIS:1990:0071:UK:N","United Kingdom",1990-03-30,1990,1990-12-17,1990,"TRIS:1990:0071:UK:C:ES","Spain"
184,"TRIS:1990:0076:PT:N","Portugal",1990-04-02,1990,1990-07-18,1990,"TRIS:1990:0076:PT:C:DE","Germany"
185,"TRIS:1990:0076:PT:N","Portugal",1990-04-02,1990,1990-07-18,1990,"TRIS:1990:0076:PT:C:EC","Commission"
186,"TRIS:1990:0077:DE:N","Germany",1990-04-04,1990,1990-10-29,1990,"TRIS:1990:0077:DE:C:EC","Commission"
187,"TRIS:1990:0079:IT:N","Italy",1990-04-09,1990,1990-10-26,1990,"TRIS:1990:0079:IT:C:FR","France"
188,"TRIS:1990:0081:DE:N","Germany",1990-04-10,1990,1990-10-22,1990,"TRIS:1990:0081:DE:C:EC","Commission"
189,"TRIS:1990:0082:DE:N","Germany",1990-04-10,1990,1990-10-29,1990,"TRIS:1990:0082:DE:C:EC","Commission"
190,"TRIS:1990:0083:DE:N","Germany",1990-04-10,1990,1990-10-29,1990,"TRIS:1990:0083:DE:C:EC","Commission"
191,"TRIS:1990:0084:DE:N","Germany",1990-04-10,1990,1990-10-22,1990,"TRIS:1990:0084:DE:C:EC","Commission"
