"key_ID","year","comment_by_ID","comment_by","comment_by_code","count_comments"
404,2005,33,"Turkey","TR",0
405,2005,34,"Commission","EC",293
406,2005,35,"European Free Trade Association","EFTA",0
407,2006,1,"Belgium","BE",3
408,2006,2,"France","FR",12
409,2006,3,"Germany","DE",30
410,2006,4,"Italy","IT",20
411,2006,5,"Luxembourg","LU",0
412,2006,6,"Netherlands","NL",8
413,2006,7,"Denmark","DK",0
414,2006,8,"Ireland","IE",0
415,2006,9,"United Kingdom","UK",12
416,2006,10,"Greece","EL",0
417,2006,11,"Portugal","PT",2
418,2006,12,"Spain","ES",17
419,2006,13,"Austria","AT",13
420,2006,14,"Finland","FI",2
421,2006,15,"Sweden","SE",4
422,2006,16,"Cyprus","CY",0
423,2006,17,"Czech Republic","CZ",12
424,2006,18,"Estonia","EE",1
425,2006,19,"Hungary","HU",11
426,2006,20,"Latvia","LV",4
427,2006,21,"Lithuania","LT",0
428,2006,22,"Malta","MT",0
429,2006,23,"Poland","PL",10
430,2006,24,"Slovakia","SK",3
431,2006,25,"Slovenia","SI",6
432,2006,29,"Iceland","IS",0
433,2006,30,"Liechtenstein","LI",0
434,2006,31,"Norway","NO",0
435,2006,32,"Switzerland","CH",0
436,2006,33,"Turkey","TR",0
437,2006,34,"Commission","EC",163
438,2006,35,"European Free Trade Association","EFTA",0
439,2007,1,"Belgium","BE",1
440,2007,2,"France","FR",12
441,2007,3,"Germany","DE",41
442,2007,4,"Italy","IT",22
443,2007,5,"Luxembourg","LU",0
444,2007,6,"Netherlands","NL",9
445,2007,7,"Denmark","DK",0
446,2007,8,"Ireland","IE",1
447,2007,9,"United Kingdom","UK",10
448,2007,10,"Greece","EL",1
449,2007,11,"Portugal","PT",0
450,2007,12,"Spain","ES",19
451,2007,13,"Austria","AT",13
452,2007,14,"Finland","FI",5
453,2007,15,"Sweden","SE",1
454,2007,16,"Cyprus","CY",0
455,2007,17,"Czech Republic","CZ",8
456,2007,18,"Estonia","EE",0
457,2007,19,"Hungary","HU",4
458,2007,20,"Latvia","LV",7
459,2007,21,"Lithuania","LT",0
460,2007,22,"Malta","MT",0
461,2007,23,"Poland","PL",5
462,2007,24,"Slovakia","SK",0
463,2007,25,"Slovenia","SI",5
464,2007,26,"Bulgaria","BG",0
465,2007,27,"Romania","RO",1
466,2007,29,"Iceland","IS",0
467,2007,30,"Liechtenstein","LI",0
468,2007,31,"Norway","NO",0
469,2007,32,"Switzerland","CH",0
470,2007,33,"Turkey","TR",0
471,2007,34,"Commission","EC",146
472,2007,35,"European Free Trade Association","EFTA",0
473,2008,1,"Belgium","BE",0
474,2008,2,"France","FR",16
475,2008,3,"Germany","DE",27
476,2008,4,"Italy","IT",6
477,2008,5,"Luxembourg","LU",0
478,2008,6,"Netherlands","NL",3
479,2008,7,"Denmark","DK",0
480,2008,8,"Ireland","IE",1
481,2008,9,"United Kingdom","UK",9
482,2008,10,"Greece","EL",2
483,2008,11,"Portugal","PT",1
484,2008,12,"Spain","ES",18
485,2008,13,"Austria","AT",13
486,2008,14,"Finland","FI",1
487,2008,15,"Sweden","SE",4
488,2008,16,"Cyprus","CY",0
489,2008,17,"Czech Republic","CZ",5
490,2008,18,"Estonia","EE",0
491,2008,19,"Hungary","HU",6
492,2008,20,"Latvia","LV",3
493,2008,21,"Lithuania","LT",0
494,2008,22,"Malta","MT",3
495,2008,23,"Poland","PL",4
496,2008,24,"Slovakia","SK",2
497,2008,25,"Slovenia","SI",7
498,2008,26,"Bulgaria","BG",0
499,2008,27,"Romania","RO",2
500,2008,29,"Iceland","IS",0
501,2008,30,"Liechtenstein","LI",0
502,2008,31,"Norway","NO",0
503,2008,32,"Switzerland","CH",0
504,2008,33,"Turkey","TR",0
505,2008,34,"Commission","EC",138
506,2008,35,"European Free Trade Association","EFTA",0
507,2009,1,"Belgium","BE",4
508,2009,2,"France","FR",18
509,2009,3,"Germany","DE",27
510,2009,4,"Italy","IT",17
511,2009,5,"Luxembourg","LU",0
512,2009,6,"Netherlands","NL",3
513,2009,7,"Denmark","DK",0
514,2009,8,"Ireland","IE",2
515,2009,9,"United Kingdom","UK",14
516,2009,10,"Greece","EL",1
517,2009,11,"Portugal","PT",2
518,2009,12,"Spain","ES",19
519,2009,13,"Austria","AT",13
520,2009,14,"Finland","FI",4
521,2009,15,"Sweden","SE",2
522,2009,16,"Cyprus","CY",0
523,2009,17,"Czech Republic","CZ",8
524,2009,18,"Estonia","EE",0
525,2009,19,"Hungary","HU",7
526,2009,20,"Latvia","LV",5
527,2009,21,"Lithuania","LT",0
528,2009,22,"Malta","MT",7
529,2009,23,"Poland","PL",9
530,2009,24,"Slovakia","SK",1
531,2009,25,"Slovenia","SI",9
532,2009,26,"Bulgaria","BG",0
533,2009,27,"Romania","RO",5
534,2009,29,"Iceland","IS",0
535,2009,30,"Liechtenstein","LI",0
536,2009,31,"Norway","NO",0
537,2009,32,"Switzerland","CH",0
538,2009,33,"Turkey","TR",0
539,2009,34,"Commission","EC",164
540,2009,35,"European Free Trade Association","EFTA",0
541,2010,1,"Belgium","BE",2
542,2010,2,"France","FR",24
543,2010,3,"Germany","DE",37
544,2010,4,"Italy","IT",13
545,2010,5,"Luxembourg","LU",0
546,2010,6,"Netherlands","NL",7
547,2010,7,"Denmark","DK",1
548,2010,8,"Ireland","IE",1
549,2010,9,"United Kingdom","UK",18
550,2010,10,"Greece","EL",1
551,2010,11,"Portugal","PT",1
552,2010,12,"Spain","ES",16
553,2010,13,"Austria","AT",9
554,2010,14,"Finland","FI",2
