"key_ID","notification_ID","notification_by_ID","notification_by","notification_by_code","start_date","start_year","end_date","end_year","comment_ID","comment_by_ID","comment_by","comment_by_code"
113,"TRIS:1989:0265:DE:N",3,"Germany","DE",1989-11-13,1989,1990-02-19,1990,"TRIS:1989:0265:DE:C:NL",6,"Netherlands","NL"
114,"TRIS:1989:0266:IT:N",4,"Italy","IT",1989-11-13,1989,1990-07-04,1990,"TRIS:1989:0266:IT:C:FR",2,"France","FR"
115,"TRIS:1989:0268:DE:N",3,"Germany","DE",1989-11-15,1989,1990-05-22,1990,"TRIS:1989:0268:DE:C:FR",2,"France","FR"
116,"TRIS:1989:0269:DE:N",3,"Germany","DE",1989-11-15,1989,1990-05-22,1990,"TRIS:1989:0269:DE:C:EC",34,"Commission","EC"
117,"TRIS:1989:0270:DE:N",3,"Germany","DE",1989-11-15,1989,1990-05-22,1990,"TRIS:1989:0270:DE:C:EC",34,"Commission","EC"
118,"TRIS:1989:0270:DE:N",3,"Germany","DE",1989-11-15,1989,1990-05-22,1990,"TRIS:1989:0270:DE:C:FR",2,"France","FR"
119,"TRIS:1989:0271:FR:N",2,"France","FR",1989-11-15,1989,1990-07-19,1990,"TRIS:1989:0271:FR:C:DK",7,"Denmark","DK"
120,"TRIS:1989:0271:FR:N",2,"France","FR",1989-11-15,1989,1990-07-19,1990,"TRIS:1989:0271:FR:C:EC",34,"Commission","EC"
121,"TRIS:1989:0272:DE:N",3,"Germany","DE",1989-11-16,1989,1990-05-28,1990,"TRIS:1989:0272:DE:C:FR",2,"France","FR"
122,"TRIS:1989:0273:DE:N",3,"Germany","DE",1989-11-16,1989,1990-03-01,1990,"TRIS:1989:0273:DE:C:FR",2,"France","FR"
123,"TRIS:1989:0285:ES:N",12,"Spain","ES",1989-11-22,1989,1990-05-31,1990,"TRIS:1989:0285:ES:C:IT",4,"Italy","IT"
124,"TRIS:1989:0286:DE:N",3,"Germany","DE",1989-11-23,1989,1990-06-05,1990,"TRIS:1989:0286:DE:C:FR",2,"France","FR"
125,"TRIS:1989:0288:DE:N",3,"Germany","DE",1989-11-23,1989,1990-06-20,1990,"TRIS:1989:0288:DE:C:EC",34,"Commission","EC"
126,"TRIS:1989:0288:DE:N",3,"Germany","DE",1989-11-23,1989,1990-06-20,1990,"TRIS:1989:0288:DE:C:UK",9,"United Kingdom","UK"
127,"TRIS:1989:0289:DE:N",3,"Germany","DE",1989-11-23,1989,1990-12-20,1990,"TRIS:1989:0289:DE:C:EC",34,"Commission","EC"
128,"TRIS:1989:0289:DE:N",3,"Germany","DE",1989-11-23,1989,1990-12-20,1990,"TRIS:1989:0289:DE:C:FR",2,"France","FR"
129,"TRIS:1989:0292:EL:N",10,"Greece","EL",1989-11-28,1989,1990-12-07,1990,"TRIS:1989:0292:EL:C:DE",3,"Germany","DE"
130,"TRIS:1989:0293:EL:N",10,"Greece","EL",1989-11-28,1989,1990-12-07,1990,"TRIS:1989:0293:EL:C:DE",3,"Germany","DE"
131,"TRIS:1989:0293:EL:N",10,"Greece","EL",1989-11-28,1989,1990-12-07,1990,"TRIS:1989:0293:EL:C:UK",9,"United Kingdom","UK"
132,"TRIS:1989:0296:FR:N",2,"France","FR",1989-12-01,1989,1990-06-05,1990,"TRIS:1989:0296:FR:C:EC",34,"Commission","EC"
133,"TRIS:1989:0296:FR:N",2,"France","FR",1989-12-01,1989,1990-06-05,1990,"TRIS:1989:0296:FR:C:NL",6,"Netherlands","NL"
134,"TRIS:1989:0296:FR:N",2,"France","FR",1989-12-01,1989,1990-06-05,1990,"TRIS:1989:0296:FR:C:UK",9,"United Kingdom","UK"
135,"TRIS:1989:0297:ES:N",12,"Spain","ES",1989-12-04,1989,1990-04-04,1990,"TRIS:1989:0297:ES:C:DE",3,"Germany","DE"
136,"TRIS:1989:0300:ES:N",12,"Spain","ES",1989-12-05,1989,1990-07-04,1990,"TRIS:1989:0300:ES:C:UK",9,"United Kingdom","UK"
