"key_ID","notification_ID","notification_by","start_date","start_year","end_date","end_year","opinion_ID","opinion_by"
141,"TRIS:1989:0229:NL:N","Netherlands",1989-09-18,1989,1990-03-23,1990,"TRIS:1989:0229:NL:C:EC","Commission"
142,"TRIS:1989:0229:NL:N","Netherlands",1989-09-18,1989,1990-03-23,1990,"TRIS:1989:0229:NL:C:UK","United Kingdom"
143,"TRIS:1989:0232:FR:N","France",1989-09-22,1989,1990-03-23,1990,"TRIS:1989:0232:FR:C:DE","Germany"
144,"TRIS:1989:0233:ES:N","Spain",1989-09-25,1989,1990-04-10,1990,"TRIS:1989:0233:ES:C:EC","Commission"
145,"TRIS:1989:0234:ES:N","Spain",1989-09-25,1989,1990-04-10,1990,"TRIS:1989:0234:ES:C:EC","Commission"
146,"TRIS:1989:0234:ES:N","Spain",1989-09-25,1989,1990-04-10,1990,"TRIS:1989:0234:ES:C:UK","United Kingdom"
147,"TRIS:1989:0235:BE:N","Belgium",1989-09-27,1989,1990-03-27,1990,"TRIS:1989:0235:BE:C:EC","Commission"
148,"TRIS:1989:0235:BE:N","Belgium",1989-09-27,1989,1990-03-27,1990,"TRIS:1989:0235:BE:C:ES","Spain"
149,"TRIS:1989:0236:LU:N","Luxembourg",1989-09-27,1989,1990-03-27,1990,"TRIS:1989:0236:LU:C:EC","Commission"
150,"TRIS:1989:0236:LU:N","Luxembourg",1989-09-27,1989,1990-03-27,1990,"TRIS:1989:0236:LU:C:ES","Spain"
151,"TRIS:1989:0237:NL:N","Netherlands",1989-09-27,1989,1990-03-27,1990,"TRIS:1989:0237:NL:C:EC","Commission"
152,"TRIS:1989:0237:NL:N","Netherlands",1989-09-27,1989,1990-03-27,1990,"TRIS:1989:0237:NL:C:ES","Spain"
153,"TRIS:1989:0238:BE:N","Belgium",1989-09-27,1989,1990-03-27,1990,"TRIS:1989:0238:BE:C:EC","Commission"
154,"TRIS:1989:0239:LU:N","Luxembourg",1989-09-27,1989,1990-03-27,1990,"TRIS:1989:0239:LU:C:EC","Commission"
155,"TRIS:1989:0240:NL:N","Netherlands",1989-09-27,1989,1990-03-27,1990,"TRIS:1989:0240:NL:C:EC","Commission"
156,"TRIS:1989:0241:BE:N","Belgium",1989-09-29,1989,1990-04-23,1990,"TRIS:1989:0241:BE:C:EC","Commission"
157,"TRIS:1989:0243:DE:N","Germany",1989-09-29,1989,1990-05-07,1990,"TRIS:1989:0243:DE:C:EC","Commission"
158,"TRIS:1989:0244:DK:N","Denmark",1989-10-02,1989,1990-06-08,1990,"TRIS:1989:0244:DK:C:EC","Commission"
159,"TRIS:1989:0245:FR:N","France",1989-10-03,1989,1990-04-04,1990,"TRIS:1989:0245:FR:C:EC","Commission"
160,"TRIS:1989:0246:FR:N","France",1989-10-04,1989,1990-04-05,1990,"TRIS:1989:0246:FR:C:DE","Germany"
161,"TRIS:1989:0248:FR:N","France",1989-10-04,1989,1990-04-05,1990,"TRIS:1989:0248:FR:C:EL","Greece"
162,"TRIS:1989:0248:FR:N","France",1989-10-04,1989,1990-04-05,1990,"TRIS:1989:0248:FR:C:UK","United Kingdom"
163,"TRIS:1989:0256:ES:N","Spain",1989-10-23,1989,1990-11-07,1990,"TRIS:1989:0256:ES:C:EC","Commission"
164,"TRIS:1989:0256:ES:N","Spain",1989-10-23,1989,1990-11-07,1990,"TRIS:1989:0256:ES:C:UK","United Kingdom"
165,"TRIS:1989:0258:EL:N","Greece",1989-10-24,1989,1990-04-24,1990,"TRIS:1989:0258:EL:C:EC","Commission"
166,"TRIS:1989:0260:DK:N","Denmark",1989-10-30,1989,1990-05-11,1990,"TRIS:1989:0260:DK:C:EC","Commission"
167,"TRIS:1989:0261:DK:N","Denmark",1989-10-31,1989,1990-07-31,1990,"TRIS:1989:0261:DK:C:EC","Commission"
168,"TRIS:1989:0262:DE:N","Germany",1989-11-03,1989,1990-05-10,1990,"TRIS:1989:0262:DE:C:EC","Commission"
169,"TRIS:1989:0263:DK:N","Denmark",1989-11-09,1989,1990-05-29,1990,"TRIS:1989:0263:DK:C:FR","France"
170,"TRIS:1989:0264:DK:N","Denmark",1989-11-09,1989,1990-05-29,1990,"TRIS:1989:0264:DK:C:ES","Spain"
171,"TRIS:1989:0264:DK:N","Denmark",1989-11-09,1989,1990-05-29,1990,"TRIS:1989:0264:DK:C:FR","France"
172,"TRIS:1989:0266:IT:N","Italy",1989-11-13,1989,1990-07-04,1990,"TRIS:1989:0266:IT:C:DE","Germany"
173,"TRIS:1989:0266:IT:N","Italy",1989-11-13,1989,1990-07-04,1990,"TRIS:1989:0266:IT:C:EC","Commission"
174,"TRIS:1989:0268:DE:N","Germany",1989-11-15,1989,1990-05-22,1990,"TRIS:1989:0268:DE:C:EC","Commission"
175,"TRIS:1989:0271:FR:N","France",1989-11-15,1989,1990-07-19,1990,"TRIS:1989:0271:FR:C:ES","Spain"
176,"TRIS:1989:0272:DE:N","Germany",1989-11-16,1989,1990-05-28,1990,"TRIS:1989:0272:DE:C:EC","Commission"
177,"TRIS:1989:0275:DE:N","Germany",1989-11-17,1989,1990-05-23,1990,"TRIS:1989:0275:DE:C:FR","France"
